ID_Number,Name,Manufacturer,Cartridge,Country,Introduced,Type,Unspecified
114,Pindad PM2,PT Pindad,9×19mm Parabellum,Indonesia,2006,SMG,Unspecified
115,Pistol Mitralieră model 1996 RATMIL,RomArm via Uzinele Mecanice Cugir,9×19mm Parabellum,Romania,1996,SMG,Unspecified
116,PM-63 RAK,"FB ""Łucznik"" Radom",9×18mm Makarov,Poland,1964,SMG,Unspecified
117,PP-19 Bizon,Izhmash,9×18mm Makarov9×19mm Parabellum.380 ACP7.62×25mm Tokarev,Russia,1993,SMG,Unspecified
118,PP-90,KBP Instrument Design Bureau,9×18mm Makarov,Soviet Union,1990s,"SMG,Other",Unspecified
119,PP-90M1,KBP Instrument Design Bureau,9×19mm Parabellum,Soviet Union,1990s,SMG,Unspecified
120,PP-91 KEDR,Izhmash,9×18mm Makarov,Soviet Union,1970s,SMG,Unspecified
121,PP-93,KBP Instrument Design Bureau,9×18mm Makarov,Russia,1993,SMG,Unspecified
122,PP-2000,KBP Instrument Design Bureau,9×19mm Parabellum,Russia,2004,SMG,Unspecified
123,PPD-40,Unspecified,7.62×25mm Tokarev,Soviet Union,1940,SMG,Unspecified
124,PPS submachine gun,Unspecified,7.62×25mm Tokarev,Soviet Union,1942,SMG,Unspecified
125,PPSh-41,Unspecified,7.62×25mm Tokarev,Soviet Union,1941,SMG,Unspecified
126,QCW-05,China South Industries Group,5.8×21mm DCV05,China,2001,PDW,Unspecified
127,Rexim-Favor,Rexim Small Arms Company,9×19mm Parabellum,Switzerland,1953,SMG,Unspecified
128,Arsenal Shipka,Arsenal AD,9×18mm Makarov9×19mm Parabellum,Bulgaria,1996,SMG,Unspecified
129,Sa vz. 23,Unspecified,9×19mm Parabellum7.62×25mm Tokarev,Czechoslovakia,1948,SMG,Unspecified
130,Saab Bofors Dynamics CBJ-MS,Saab Bofors Dynamics,9×19mm Parabellum6.5×25 CBJ-MS,Sweden,2000s,SMG,Unspecified
131,Sanna 77,Unspecified,9×19mm Parabellum,South Africa Rhodesia,1977,SMG,Unspecified
132,SAR 109T,Sarsilmaz,9×19mm Parabellum,Turkey,2014,SMG,Unspecified
133,Škorpion,Česká Zbrojovka Uherský Brod,.32 ACP,Czechoslovakia,1961,"SMG, MP",Unspecified
134,SIG MKMO,Schweizerische Industrie Gesellschaft,9×19mm Parabellum,Switzerland,1930,SMG,Unspecified
135,SIG MPX,SIG Sauer,9×19mm Parabellum,Germany United States,2013,SMG,Unspecified
136,Spasov M1944 Trigun,Hristo Spasov,9×19mm Parabellum,Bulgaria,1944,SMG,Unspecified
